,train_loss,valid_loss,train_iou,valid_iou
0,0.49534428119659424,0.4910535514354706,0.734619526458638,0.7523563727736473
1,0.48109448541487965,0.4860631488263607,0.7778191710157054,0.7566995161275069
2,0.4742483432803835,0.4839043157796065,0.8041024852011885,0.7727978204687437
3,0.4718569298940046,0.4829919822514057,0.8122258787708623,0.7555103500684103
4,0.4679781182536057,0.4821904053290685,0.8305571749806404,0.771320557842652
5,0.46485338998692377,0.4813235228260358,0.8496284665805953,0.7680830992758274
6,0.4633172143782888,0.481904286891222,0.8576706296631268,0.7540961081782976
7,0.46217096011553493,0.4808298759162426,0.8646000948335443,0.7602009475231171
8,0.4598883188196591,0.48124345516165096,0.8801808947963374,0.7678025762240092
9,0.45974357585821835,0.4833682340880235,0.8815677261778286,0.7658492475748062
10,0.45853139779397417,0.48101278642813367,0.888695700360196,0.770274984339873
11,0.45709905294435366,0.48086515565713245,0.8992890353713717,0.769998624920845
12,0.45658740241612705,0.48126502707600594,0.9032267002122742,0.7574853164454302
13,0.4569959060422012,0.4806799491246541,0.9011096677609852,0.7699067791302999
14,0.456470612436533,0.4832779603699843,0.9040523368333068,0.7617138649026552
15,0.4554700010589191,0.481425404548645,0.9110730902424881,0.7710688474277655
16,0.45403265740190235,0.48033421859145164,0.9199150768773896,0.7757699551681677
17,0.4539851647402559,0.4812527510027091,0.9224634606923375,0.768269362548987
18,0.45380101831895964,0.4825751793881257,0.9244997719568866,0.76577020312349
19,0.454208288873945,0.4813215509057045,0.9197835895631995,0.7676128993431727
20,0.45333092021090643,0.4865022326509158,0.9259105361998081,0.7548318120340506
21,0.45309330576232504,0.4805270197490851,0.9254143126308918,0.7691621035337448
22,0.45304484771830694,0.4810082291563352,0.9304571848894868,0.7744552393754324
23,0.4516813653920378,0.4802343361079693,0.9369830393365451,0.7747089105347792
24,0.4516303241252899,0.481481126199166,0.9414006317300456,0.7740953279038271
25,0.4504912926682404,0.47914696236451465,0.9461162297853402,0.7793013279636701
26,0.45050435619694845,0.4798235471049945,0.9488157741725445,0.7723836315174898
27,0.44988551629441126,0.47961533442139626,0.9523017997188228,0.7799172724286715
28,0.44986360466906,0.47961408644914627,0.9546872398683003,0.7777646953860918
29,0.4493699973183019,0.4793353353937467,0.956245940710817,0.7816900064547857
